Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,SquareSoft,T
The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,SquareSoft,T
Pac-Man,2600,1982,Puzzle,Atari,,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,Game Freak,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,Rockstar Leeds,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,Sledgehammer Games,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,,
FIFA 17,PS4,2016,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,Nintendo EAD Tokyo,E
Super Mario Bros. 2,NES,1988,Platform,Nintendo,,
